vehicle_id,window_start,window_end,drive_hours,distance_km,insufficient_exposure_flag,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,crash_count,ubi_proxy_score,vehicle_behaviour_class
334008589,2026-01-01,2026-02-01,101.2063888888889,1381.0,0,82.0,1.0,1.0,2.0,0.0,0.0,80.0,37.0,3.0,0,0.7699203187250996,High
334148753,2026-01-01,2026-02-01,133.46805555555557,1087.0,0,84.0,6.0,16.0,22.0,0.0,1.0,0.0,25.0,20.0,3,0.7487649402390438,High
334154201,2026-01-01,2026-02-01,5.667222222222223,84.0,0,8.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,73.0,1,0.6615139442231076,High
334154315,2026-01-01,2026-02-01,63.07861111111111,680.0,0,5.0,0.0,0.0,0.0,1.0,0.0,18.0,28.0,0.0,0,0.5805179282868527,High
334159140,2026-01-01,2026-02-01,23.86777777777778,112.0,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0,0.4925697211155378,Medium
334723632,2026-01-01,2026-02-01,6.471666666666667,77.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0,0.5136055776892431,Medium
334802885,2026-01-01,2026-02-01,26.361944444444443,72.0,0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0,0.5106374501992033,Medium
335116387,2026-01-01,2026-02-01,103.50722222222223,447.0,0,10.0,0.0,0.0,0.0,2.0,0.0,26.0,34.0,0.0,2,0.6097211155378487,High
336854753,2026-01-01,2026-02-01,90.86111111111111,1135.0,0,73.0,2.0,6.0,8.0,0.0,0.0,11.0,116.0,16.0,1,0.7902788844621514,High
336916651,2026-01-01,2026-02-01,34.985,268.0,0,3.0,2.0,0.0,2.0,0.0,0.0,4.0,12.0,0.0,10,0.5588047808764941,High
336920475,2026-01-01,2026-02-01,17.965555555555557,131.0,0,2.0,2.0,0.0,2.0,4.0,0.0,4.0,4.0,1.0,0,0.6309362549800797,High
336920768,2026-01-01,2026-02-01,32.86222222222222,293.0,0,9.0,2.0,1.0,3.0,0.0,0.0,3.0,25.0,1.0,0,0.7033665338645418,High
337268755,2026-01-01,2026-02-01,62.925555555555555,1208.0,0,108.0,53.0,0.0,53.0,0.0,3.0,0.0,42.0,0.0,4,0.6346414342629483,High
